# x_w(m)  T_w(K)  q_w(W/m2)  p_w(Pa)
   5.0000000E-03   4.2386427E+02  -1.0415945E+05   0.0000000E+00
   1.5000000E-02   4.2850007E+02  -8.0618601E+04   0.0000000E+00
   2.5000000E-02   4.3063619E+02  -7.5872850E+04   0.0000000E+00
   3.5000000E-02   4.3197406E+02  -7.3880457E+04   0.0000000E+00
   4.5000000E-02   4.3289180E+02  -7.2735326E+04   0.0000000E+00
   5.5000000E-02   4.3355794E+02  -7.1966259E+04   0.0000000E+00
   6.5000000E-02   4.3406292E+02  -7.1398363E+04   0.0000000E+00
   7.5000000E-02   4.3445912E+02  -7.0952266E+04   0.0000000E+00
   8.5000000E-02   4.3477860E+02  -7.0586847E+04   0.0000000E+00
   9.5000000E-02   4.3504199E+02  -7.0278525E+04   0.0000000E+00
   1.0500000E-01   4.3526313E+02  -7.0012670E+04   0.0000000E+00
   1.1500000E-01   4.3545166E+02  -6.9779624E+04   0.0000000E+00
   1.2500000E-01   4.3561450E+02  -6.9572697E+04   0.0000000E+00
   1.3500000E-01   4.3575674E+02  -6.9387070E+04   0.0000000E+00
   1.4500000E-01   4.3588221E+02  -6.9219155E+04   0.0000000E+00
   1.5500000E-01   4.3599386E+02  -6.9066207E+04   0.0000000E+00
   1.6500000E-01   4.3609398E+02  -6.8926080E+04   0.0000000E+00
   1.7500000E-01   4.3618440E+02  -6.8797058E+04   0.0000000E+00
   1.8500000E-01   4.3626656E+02  -6.8677747E+04   0.0000000E+00
   1.9500000E-01   4.3634164E+02  -6.8566997E+04   0.0000000E+00
   2.0500000E-01   4.3641061E+02  -6.8463846E+04   0.0000000E+00
   2.1500000E-01   4.3647424E+02  -6.8367481E+04   0.0000000E+00
   2.2500000E-01   4.3653322E+02  -6.8277208E+04   0.0000000E+00
   2.3500000E-01   4.3658807E+02  -6.8192428E+04   0.0000000E+00
   2.4500000E-01   4.3663928E+02  -6.8112622E+04   0.0000000E+00
   2.5500000E-01   4.3668724E+02  -6.8037337E+04   0.0000000E+00
   2.6500000E-01   4.3673228E+02  -6.7966174E+04   0.0000000E+00
   2.7500000E-01   4.3677469E+02  -6.7898781E+04   0.0000000E+00
   2.8500000E-01   4.3681473E+02  -6.7834847E+04   0.0000000E+00
   2.9500000E-01   4.3685262E+02  -6.7774093E+04   0.0000000E+00
   3.0500000E-01   4.3688854E+02  -6.7716271E+04   0.0000000E+00
   3.1500000E-01   4.3692267E+02  -6.7661158E+04   0.0000000E+00
   3.2500000E-01   4.3695514E+02  -6.7608553E+04   0.0000000E+00
   3.3500000E-01   4.3698610E+02  -6.7558277E+04   0.0000000E+00
   3.4500000E-01   4.3701566E+02  -6.7510165E+04   0.0000000E+00
   3.5500000E-01   4.3704393E+02  -6.7464070E+04   0.0000000E+00
   3.6500000E-01   4.3707099E+02  -6.7419855E+04   0.0000000E+00
   3.7500000E-01   4.3709693E+02  -6.7377400E+04   0.0000000E+00
   3.8500000E-01   4.3712183E+02  -6.7336591E+04   0.0000000E+00
   3.9500000E-01   4.3714576E+02  -6.7297327E+04   0.0000000E+00
   4.0500000E-01   4.3716878E+02  -6.7259513E+04   0.0000000E+00
   4.1500000E-01   4.3719094E+02  -6.7223063E+04   0.0000000E+00
   4.2500000E-01   4.3721230E+02  -6.7187897E+04   0.0000000E+00
   4.3500000E-01   4.3723291E+02  -6.7153943E+04   0.0000000E+00
   4.4500000E-01   4.3725280E+02  -6.7121134E+04   0.0000000E+00
   4.5500000E-01   4.3727203E+02  -6.7089406E+04   0.0000000E+00
   4.6500000E-01   4.3729062E+02  -6.7058702E+04   0.0000000E+00
   4.7500000E-01   4.3730862E+02  -6.7028968E+04   0.0000000E+00
   4.8500000E-01   4.3732605E+02  -6.7000155E+04   0.0000000E+00
   4.9500000E-01   4.3734294E+02  -6.6972216E+04   0.0000000E+00
   5.0500000E-01   4.3735931E+02  -6.6945109E+04   0.0000000E+00
   5.1500000E-01   4.3737521E+02  -6.6918792E+04   0.0000000E+00
   5.2500000E-01   4.3739064E+02  -6.6893228E+04   0.0000000E+00
   5.3500000E-01   4.3740563E+02  -6.6868383E+04   0.0000000E+00
   5.4500000E-01   4.3742021E+02  -6.6844223E+04   0.0000000E+00
   5.5500000E-01   4.3743438E+02  -6.6820717E+04   0.0000000E+00
   5.6500000E-01   4.3744817E+02  -6.6797836E+04   0.0000000E+00
   5.7500000E-01   4.3746160E+02  -6.6775554E+04   0.0000000E+00
   5.8500000E-01   4.3747468E+02  -6.6753845E+04   0.0000000E+00
   5.9500000E-01   4.3748742E+02  -6.6732684E+04   0.0000000E+00
   6.0500000E-01   4.3749984E+02  -6.6712050E+04   0.0000000E+00
   6.1500000E-01   4.3751196E+02  -6.6691919E+04   0.0000000E+00
   6.2500000E-01   4.3752378E+02  -6.6672274E+04   0.0000000E+00
   6.3500000E-01   4.3753532E+02  -6.6653093E+04   0.0000000E+00
   6.4500000E-01   4.3754659E+02  -6.6634359E+04   0.0000000E+00
   6.5500000E-01   4.3755759E+02  -6.6616056E+04   0.0000000E+00
