# x_w(m)  T_w(K)  q_w(W/m2)  p_w(Pa)
   5.0000000E-03   8.8491911E+03   2.0660202E+06   0.0000000E+00
   1.5000000E-02   9.2177803E+03   3.6239646E+06   0.0000000E+00
   2.5000000E-02   9.4872869E+03   4.0988710E+06   0.0000000E+00
   3.5000000E-02   9.7269283E+03   4.3724224E+06   0.0000000E+00
   4.5000000E-02   9.9476620E+03   4.5705725E+06   0.0000000E+00
   5.5000000E-02   1.0153158E+04   4.7277648E+06   0.0000000E+00
   6.5000000E-02   1.0345230E+04   4.8584109E+06   0.0000000E+00
   7.5000000E-02   1.0524991E+04   4.9700776E+06   0.0000000E+00
   8.5000000E-02   1.0693243E+04   5.0672948E+06   0.0000000E+00
   9.5000000E-02   1.0850645E+04   5.1530261E+06   0.0000000E+00
   1.0500000E-01   1.0997789E+04   5.2293421E+06   0.0000000E+00
   1.1500000E-01   1.1135238E+04   5.2977652E+06   0.0000000E+00
   1.2500000E-01   1.1263534E+04   5.3594604E+06   0.0000000E+00
   1.3500000E-01   1.1383212E+04   5.4153481E+06   0.0000000E+00
   1.4500000E-01   1.1494791E+04   5.4661742E+06   0.0000000E+00
   1.5500000E-01   1.1598782E+04   5.5125557E+06   0.0000000E+00
   1.6500000E-01   1.1695679E+04   5.5550112E+06   0.0000000E+00
   1.7500000E-01   1.1785959E+04   5.5939820E+06   0.0000000E+00
   1.8500000E-01   1.1870080E+04   5.6298477E+06   0.0000000E+00
   1.9500000E-01   1.1948478E+04   5.6629371E+06   0.0000000E+00
   2.0500000E-01   1.2021566E+04   5.6935374E+06   0.0000000E+00
   2.1500000E-01   1.2089736E+04   5.7219001E+06   0.0000000E+00
   2.2500000E-01   1.2153356E+04   5.7482470E+06   0.0000000E+00
   2.3500000E-01   1.2212768E+04   5.7727738E+06   0.0000000E+00
   2.4500000E-01   1.2268295E+04   5.7956540E+06   0.0000000E+00
   2.5500000E-01   1.2320236E+04   5.8170419E+06   0.0000000E+00
   2.6500000E-01   1.2368868E+04   5.8370746E+06   0.0000000E+00
   2.7500000E-01   1.2414449E+04   5.8558746E+06   0.0000000E+00
   2.8500000E-01   1.2457216E+04   5.8735513E+06   0.0000000E+00
   2.9500000E-01   1.2497389E+04   5.8902024E+06   0.0000000E+00
   3.0500000E-01   1.2535169E+04   5.9059157E+06   0.0000000E+00
   3.1500000E-01   1.2570743E+04   5.9207700E+06   0.0000000E+00
   3.2500000E-01   1.2604281E+04   5.9348360E+06   0.0000000E+00
   3.3500000E-01   1.2635941E+04   5.9481773E+06   0.0000000E+00
   3.4500000E-01   1.2665867E+04   5.9608514E+06   0.0000000E+00
   3.5500000E-01   1.2694190E+04   5.9729100E+06   0.0000000E+00
   3.6500000E-01   1.2721031E+04   5.9843999E+06   0.0000000E+00
   3.7500000E-01   1.2746502E+04   5.9953635E+06   0.0000000E+00
   3.8500000E-01   1.2770704E+04   6.0058392E+06   0.0000000E+00
   3.9500000E-01   1.2793730E+04   6.0158618E+06   0.0000000E+00
   4.0500000E-01   1.2815665E+04   6.0254629E+06   0.0000000E+00
   4.1500000E-01   1.2836588E+04   6.0346713E+06   0.0000000E+00
   4.2500000E-01   1.2856568E+04   6.0435133E+06   0.0000000E+00
   4.3500000E-01   1.2875673E+04   6.0520128E+06   0.0000000E+00
   4.4500000E-01   1.2893962E+04   6.0601917E+06   0.0000000E+00
   4.5500000E-01   1.2911490E+04   6.0680700E+06   0.0000000E+00
   4.6500000E-01   1.2928307E+04   6.0756661E+06   0.0000000E+00
   4.7500000E-01   1.2944460E+04   6.0829969E+06   0.0000000E+00
   4.8500000E-01   1.2959991E+04   6.0900777E+06   0.0000000E+00
   4.9500000E-01   1.2974939E+04   6.0969230E+06   0.0000000E+00
   5.0500000E-01   1.2989340E+04   6.1035458E+06   0.0000000E+00
   5.1500000E-01   1.3003227E+04   6.1099583E+06   0.0000000E+00
   5.2500000E-01   1.3016630E+04   6.1161716E+06   0.0000000E+00
   5.3500000E-01   1.3029577E+04   6.1221962E+06   0.0000000E+00
   5.4500000E-01   1.3042093E+04   6.1280417E+06   0.0000000E+00
   5.5500000E-01   1.3054203E+04   6.1337169E+06   0.0000000E+00
   5.6500000E-01   1.3065928E+04   6.1392302E+06   0.0000000E+00
