# x_w(m)  T_w(K)  q_w(W/m2)  p_w(Pa)
   5.0000000E-03   8.0000000E+02  -6.4801498E-07   0.0000000E+00
   1.5000000E-02   8.0000000E+02  -6.1390892E-07   0.0000000E+00
   2.5000000E-02   8.0000000E+02  -5.8093974E-07   0.0000000E+00
   3.5000000E-02   8.0000000E+02  -5.5138116E-07   0.0000000E+00
   4.5000000E-02   8.0000000E+02  -5.2409632E-07   0.0000000E+00
   5.5000000E-02   8.0000000E+02  -4.9794835E-07   0.0000000E+00
   6.5000000E-02   8.0000000E+02  -4.7407411E-07   0.0000000E+00
   7.5000000E-02   8.0000000E+02  -4.5019988E-07   0.0000000E+00
   8.5000000E-02   8.0000000E+02  -4.2746251E-07   0.0000000E+00
   9.5000000E-02   8.0000000E+02  -4.1040948E-07   0.0000000E+00
   1.0500000E-01   8.0000000E+02  -3.8994585E-07   0.0000000E+00
   1.1500000E-01   8.0000000E+02  -3.7289283E-07   0.0000000E+00
   1.2500000E-01   8.0000000E+02  -3.5697667E-07   0.0000000E+00
   1.3500000E-01   8.0000000E+02  -3.4106051E-07   0.0000000E+00
   1.4500000E-01   8.0000000E+02  -3.2741809E-07   0.0000000E+00
   1.5500000E-01   8.0000000E+02  -3.1377567E-07   0.0000000E+00
   1.6500000E-01   8.0000000E+02  -3.0013325E-07   0.0000000E+00
   1.7500000E-01   8.0000000E+02  -2.8762770E-07   0.0000000E+00
   1.8500000E-01   8.0000000E+02  -2.7739588E-07   0.0000000E+00
   1.9500000E-01   8.0000000E+02  -2.6830094E-07   0.0000000E+00
   2.0500000E-01   8.0000000E+02  -2.5806912E-07   0.0000000E+00
   2.1500000E-01   8.0000000E+02  -2.4897417E-07   0.0000000E+00
   2.2500000E-01   8.0000000E+02  -2.4215296E-07   0.0000000E+00
   2.3500000E-01   8.0000000E+02  -2.3305802E-07   0.0000000E+00
   2.4500000E-01   8.0000000E+02  -2.2396307E-07   0.0000000E+00
   2.5500000E-01   8.0000000E+02  -2.1827873E-07   0.0000000E+00
