j= 40 theta=91.12 deg
  i    r-R      u        v      |u|      p       ut
  0   0.0069    0.0420   0.0028   0.0421  -0.45995  -0.0420
  2   0.0362    0.2089   0.0192   0.2098  -0.44625  -0.2093
  4   0.0680    0.3765   0.0508   0.3799  -0.43006  -0.3774
  6   0.1025    0.5402   0.0931   0.5482  -0.41257  -0.5419
  8   0.1399    0.6941   0.1409   0.7083  -0.39253  -0.6968
 10   0.1805    0.8314   0.1885   0.8525  -0.36939  -0.8349
 12   0.2246    0.9458   0.2310   0.9736  -0.34325  -0.9502
 14   0.2724    1.0336   0.2642   1.0668  -0.31494  -1.0386
 16   0.3243    1.0939   0.2858   1.1306  -0.28568  -1.0993
 18   0.3805    1.1293   0.2957   1.1674  -0.25617  -1.1349
 20   0.4415    1.1459   0.2957   1.1834  -0.22838  -1.1515
 22   0.5077    1.1485   0.2879   1.1841  -0.20261  -1.1540
 24   0.5793    1.1434   0.2751   1.1760  -0.17938  -1.1485
 26   0.6570    1.1340   0.2595   1.1633  -0.15873  -1.1388
 28   0.7411    1.1234   0.2429   1.1494  -0.14046  -1.1280
 30   0.8322    1.1132   0.2263   1.1359  -0.12439  -1.1174
 32   0.9308    1.1038   0.2102   1.1236  -0.11027  -1.1077
 34   1.0376    1.0954   0.1948   1.1126  -0.09787  -1.0990
 36   1.1531    1.0879   0.1802   1.1027  -0.08697  -1.0912
 38   1.2780    1.0813   0.1664   1.0940  -0.07737  -1.0843
