# x_w(m)  T_w(K)  q_w(W/m2)  p_w(Pa)
   9.9375000E-01   7.9999000E+02   2.8412717E+01   0.0000000E+00
   9.8125000E-01   7.9999000E+02   2.8477825E+01   0.0000000E+00
   9.6875000E-01   7.9999000E+02   2.8513330E+01   0.0000000E+00
   9.5625000E-01   7.9999000E+02   2.8565262E+01   0.0000000E+00
   9.4375000E-01   7.9999000E+02   2.8612624E+01   0.0000000E+00
   9.3125000E-01   7.9999000E+02   2.8663942E+01   0.0000000E+00
   9.1875000E-01   7.9999000E+02   2.8714931E+01   0.0000000E+00
   9.0625000E-01   7.9999000E+02   2.8766226E+01   0.0000000E+00
   8.9375000E-01   7.9999000E+02   2.8816441E+01   0.0000000E+00
   8.8125000E-01   7.9999000E+02   2.8864770E+01   0.0000000E+00
   8.6875000E-01   7.9999000E+02   2.8910051E+01   0.0000000E+00
   8.5625000E-01   7.9999000E+02   2.8951013E+01   0.0000000E+00
   8.4375000E-01   7.9999000E+02   2.8986324E+01   0.0000000E+00
   8.3125000E-01   7.9999000E+02   2.9014575E+01   0.0000000E+00
   8.1875000E-01   7.9999000E+02   2.9034231E+01   0.0000000E+00
   8.0625000E-01   7.9999000E+02   2.9043758E+01   0.0000000E+00
   7.9375000E-01   7.9999000E+02   2.9041598E+01   0.0000000E+00
   7.8125000E-01   7.9999000E+02   2.9026228E+01   0.0000000E+00
   7.6875000E-01   7.9999000E+02   2.8996214E+01   0.0000000E+00
   7.5625000E-01   7.9999000E+02   2.8950160E+01   0.0000000E+00
   7.4375000E-01   7.9999000E+02   2.8886825E+01   0.0000000E+00
   7.3125000E-01   7.9999000E+02   2.8805164E+01   0.0000000E+00
   7.1875000E-01   7.9999000E+02   2.8704324E+01   0.0000000E+00
   7.0625000E-01   7.9999000E+02   2.8583804E+01   0.0000000E+00
   6.9375000E-01   7.9999000E+02   2.8443390E+01   0.0000000E+00
   6.8125000E-01   7.9999000E+02   2.8283250E+01   0.0000000E+00
   6.6875000E-01   7.9999000E+02   2.8103750E+01   0.0000000E+00
   6.5625000E-01   7.9999000E+02   2.7905651E+01   0.0000000E+00
   6.4375000E-01   7.9999000E+02   2.7690305E+01   0.0000000E+00
   6.3125000E-01   7.9999000E+02   2.7459521E+01   0.0000000E+00
   6.1875000E-01   7.9999000E+02   2.7215481E+01   0.0000000E+00
   6.0625000E-01   7.9999000E+02   2.6960754E+01   0.0000000E+00
   5.9375000E-01   7.9999000E+02   2.6698831E+01   0.0000000E+00
   5.8125000E-01   7.9999000E+02   2.6434532E+01   0.0000000E+00
   5.6875000E-01   7.9999000E+02   2.6173291E+01   0.0000000E+00
   5.5625000E-01   7.9999000E+02   2.5922066E+01   0.0000000E+00
   5.4375000E-01   7.9999000E+02   2.5688473E+01   0.0000000E+00
   5.3125000E-01   7.9999000E+02   2.5482427E+01   0.0000000E+00
   5.1875000E-01   7.9999000E+02   2.5328188E+01   0.0000000E+00
   5.0625000E-01   7.9999000E+02   2.5581244E+01   0.0000000E+00
