# x_w(m)  T_w(K)  q_w(W/m2)  p_w(Pa)
   9.9375000E-01   1.2405237E+03   2.2629176E+06   0.0000000E+00
   9.8125000E-01   1.2408006E+03   2.2643043E+06   0.0000000E+00
   9.6875000E-01   1.2407790E+03   2.2631801E+06   0.0000000E+00
   9.5625000E-01   1.2406415E+03   2.2616356E+06   0.0000000E+00
   9.4375000E-01   1.2403365E+03   2.2592132E+06   0.0000000E+00
   9.3125000E-01   1.2398625E+03   2.2560081E+06   0.0000000E+00
   9.1875000E-01   1.2392068E+03   2.2519753E+06   0.0000000E+00
   9.0625000E-01   1.2383636E+03   2.2471232E+06   0.0000000E+00
   8.9375000E-01   1.2373277E+03   2.2414533E+06   0.0000000E+00
   8.8125000E-01   1.2360979E+03   2.2349915E+06   0.0000000E+00
   8.6875000E-01   1.2346752E+03   2.2277744E+06   0.0000000E+00
   8.5625000E-01   1.2330648E+03   2.2198620E+06   0.0000000E+00
   8.4375000E-01   1.2312753E+03   2.2113306E+06   0.0000000E+00
   8.3125000E-01   1.2293192E+03   2.2022809E+06   0.0000000E+00
   8.1875000E-01   1.2272127E+03   2.1928296E+06   0.0000000E+00
   8.0625000E-01   1.2249755E+03   2.1831122E+06   0.0000000E+00
   7.9375000E-01   1.2226308E+03   2.1732804E+06   0.0000000E+00
   7.8125000E-01   1.2202047E+03   2.1634994E+06   0.0000000E+00
   7.6875000E-01   1.2177267E+03   2.1539469E+06   0.0000000E+00
   7.5625000E-01   1.2152283E+03   2.1448076E+06   0.0000000E+00
   7.4375000E-01   1.2127412E+03   2.1362586E+06   0.0000000E+00
   7.3125000E-01   1.2102991E+03   2.1284791E+06   0.0000000E+00
   7.1875000E-01   1.2079358E+03   2.1216405E+06   0.0000000E+00
   7.0625000E-01   1.2056841E+03   2.1158951E+06   0.0000000E+00
   6.9375000E-01   1.2035752E+03   2.1113750E+06   0.0000000E+00
   6.8125000E-01   1.2016381E+03   2.1081833E+06   0.0000000E+00
   6.6875000E-01   1.1999000E+03   2.1064004E+06   0.0000000E+00
   6.5625000E-01   1.1983864E+03   2.1060781E+06   0.0000000E+00
   6.4375000E-01   1.1971269E+03   2.1073117E+06   0.0000000E+00
   6.3125000E-01   1.1961197E+03   2.1099508E+06   0.0000000E+00
   6.1875000E-01   1.1953684E+03   2.1139016E+06   0.0000000E+00
   6.0625000E-01   1.1948757E+03   2.1190544E+06   0.0000000E+00
   5.9375000E-01   1.1946451E+03   2.1252981E+06   0.0000000E+00
   5.8125000E-01   1.1946777E+03   2.1325046E+06   0.0000000E+00
   5.6875000E-01   1.1949587E+03   2.1404566E+06   0.0000000E+00
   5.5625000E-01   1.1954248E+03   2.1486780E+06   0.0000000E+00
   5.4375000E-01   1.1958993E+03   2.1560750E+06   0.0000000E+00
   5.3125000E-01   1.1959604E+03   2.1602099E+06   0.0000000E+00
   5.1875000E-01   1.1945336E+03   2.1536634E+06   0.0000000E+00
   5.0625000E-01   1.1897270E+03   2.1146101E+06   0.0000000E+00
