# x_w(m)  T_w(K)  q_w(W/m2)  p_w(Pa)
   9.9375000E-01   5.5848074E+02   8.5309910E+04   0.0000000E+00
   9.8125000E-01   5.5847925E+02   8.5309451E+04   0.0000000E+00
   9.6875000E-01   5.5847796E+02   8.5309089E+04   0.0000000E+00
   9.5625000E-01   5.5847687E+02   8.5308817E+04   0.0000000E+00
   9.4375000E-01   5.5847595E+02   8.5308620E+04   0.0000000E+00
   9.3125000E-01   5.5847519E+02   8.5308486E+04   0.0000000E+00
   9.1875000E-01   5.5847458E+02   8.5308401E+04   0.0000000E+00
   9.0625000E-01   5.5847408E+02   8.5308352E+04   0.0000000E+00
   8.9375000E-01   5.5847368E+02   8.5308329E+04   0.0000000E+00
   8.8125000E-01   5.5847336E+02   8.5308324E+04   0.0000000E+00
   8.6875000E-01   5.5847311E+02   8.5308330E+04   0.0000000E+00
   8.5625000E-01   5.5847292E+02   8.5308343E+04   0.0000000E+00
   8.4375000E-01   5.5847277E+02   8.5308358E+04   0.0000000E+00
   8.3125000E-01   5.5847265E+02   8.5308375E+04   0.0000000E+00
   8.1875000E-01   5.5847256E+02   8.5308391E+04   0.0000000E+00
   8.0625000E-01   5.5847250E+02   8.5308406E+04   0.0000000E+00
   7.9375000E-01   5.5847244E+02   8.5308419E+04   0.0000000E+00
   7.8125000E-01   5.5847240E+02   8.5308430E+04   0.0000000E+00
   7.6875000E-01   5.5847237E+02   8.5308440E+04   0.0000000E+00
   7.5625000E-01   5.5847235E+02   8.5308448E+04   0.0000000E+00
   7.4375000E-01   5.5847233E+02   8.5308454E+04   0.0000000E+00
   7.3125000E-01   5.5847232E+02   8.5308460E+04   0.0000000E+00
   7.1875000E-01   5.5847231E+02   8.5308464E+04   0.0000000E+00
   7.0625000E-01   5.5847230E+02   8.5308468E+04   0.0000000E+00
   6.9375000E-01   5.5847230E+02   8.5308470E+04   0.0000000E+00
   6.8125000E-01   5.5847229E+02   8.5308472E+04   0.0000000E+00
   6.6875000E-01   5.5847229E+02   8.5308474E+04   0.0000000E+00
   6.5625000E-01   5.5847229E+02   8.5308475E+04   0.0000000E+00
   6.4375000E-01   5.5847229E+02   8.5308476E+04   0.0000000E+00
   6.3125000E-01   5.5847229E+02   8.5308477E+04   0.0000000E+00
   6.1875000E-01   5.5847229E+02   8.5308478E+04   0.0000000E+00
   6.0625000E-01   5.5847228E+02   8.5308478E+04   0.0000000E+00
   5.9375000E-01   5.5847228E+02   8.5308478E+04   0.0000000E+00
   5.8125000E-01   5.5847228E+02   8.5308479E+04   0.0000000E+00
   5.6875000E-01   5.5847228E+02   8.5308479E+04   0.0000000E+00
   5.5625000E-01   5.5847228E+02   8.5308479E+04   0.0000000E+00
   5.4375000E-01   5.5847228E+02   8.5308479E+04   0.0000000E+00
   5.3125000E-01   5.5847228E+02   8.5308479E+04   0.0000000E+00
   5.1875000E-01   5.5847228E+02   8.5308479E+04   0.0000000E+00
   5.0625000E-01   5.5847228E+02   8.5308479E+04   0.0000000E+00
