# x_w(m)  T_w(K)  q_w(W/m2)  p_w(Pa)
   5.0625000E-01   3.0847436E+02   7.6101002E+05   2.7714081E+04
   5.1875000E-01   3.0728785E+02   6.1043069E+05   2.7335475E+04
   5.3125000E-01   3.0722724E+02   6.0188215E+05   2.7273804E+04
   5.4375000E-01   3.0721675E+02   6.0027708E+05   2.7249988E+04
   5.5625000E-01   3.0721324E+02   5.9974887E+05   2.7240675E+04
   5.6875000E-01   3.0721148E+02   5.9948732E+05   2.7236628E+04
   5.8125000E-01   3.0721026E+02   5.9931409E+05   2.7233809E+04
   5.9375000E-01   3.0720931E+02   5.9918628E+05   2.7231588E+04
   6.0625000E-01   3.0720860E+02   5.9909216E+05   2.7229888E+04
   6.1875000E-01   3.0720804E+02   5.9902263E+05   2.7228604E+04
   6.3125000E-01   3.0720758E+02   5.9896708E+05   2.7227536E+04
   6.4375000E-01   3.0720720E+02   5.9892166E+05   2.7226707E+04
   6.5625000E-01   3.0720679E+02   5.9887510E+05   2.7225731E+04
   6.6875000E-01   3.0720667E+02   5.9885493E+05   2.7225668E+04
   6.8125000E-01   3.0720590E+02   5.9877997E+05   2.7223578E+04
   6.9375000E-01   3.0720717E+02   5.9889101E+05   2.7227686E+04
   7.0625000E-01   3.0720268E+02   5.9848107E+05   2.7215439E+04
   7.1875000E-01   3.0721046E+02   5.9891901E+05   2.7247909E+04
   7.3125000E-01   3.0608261E+02   4.5776730E+05   2.6674843E+04
