# x_w(m)  T_w(K)  p_w(Pa)  |u|_w(m/s)
   5.0625000E-01   4.4684685E+02   2.7694848E+04   3.1497657E+01
   5.1875000E-01   4.4415648E+02   2.7696787E+04   3.1501472E+01
   5.3125000E-01   4.4407919E+02   2.7697031E+04   3.1503026E+01
   5.4375000E-01   4.4398432E+02   2.7697251E+04   3.1504362E+01
   5.5625000E-01   4.4389075E+02   2.7697401E+04   3.1505263E+01
   5.6875000E-01   4.4379962E+02   2.7697513E+04   3.1505871E+01
   5.8125000E-01   4.4370522E+02   2.7697618E+04   3.1506260E+01
   5.9375000E-01   4.4360935E+02   2.7697738E+04   3.1506494E+01
   6.0625000E-01   4.4351898E+02   2.7697879E+04   3.1506631E+01
   6.1875000E-01   4.4344092E+02   2.7698037E+04   3.1506738E+01
   6.3125000E-01   4.4337859E+02   2.7698202E+04   3.1506844E+01
   6.4375000E-01   4.4333416E+02   2.7698364E+04   3.1506972E+01
   6.5625000E-01   4.4330413E+02   2.7698522E+04   3.1507149E+01
   6.6875000E-01   4.4329678E+02   2.7698638E+04   3.1507391E+01
   6.8125000E-01   4.4328343E+02   2.7698781E+04   3.1507691E+01
   6.9375000E-01   4.4334388E+02   2.7698687E+04   3.1508024E+01
   7.0625000E-01   4.4325112E+02   2.7699083E+04   3.1508452E+01
   7.1875000E-01   4.4354723E+02   2.7697954E+04   3.1507461E+01
   7.3125000E-01   4.4030499E+02   2.7700816E+04   3.1508686E+01
