# x_w(m)  T_w(K)  q_w(W/m2)  p_w(Pa)
   2.0833333E-03   3.0963279E+02   3.4052003E+04   2.7567976E+04
   6.2500000E-03   3.0975893E+02   3.4590083E+04   2.7609646E+04
   1.0416667E-02   3.0989064E+02   3.5077777E+04   2.7601337E+04
   1.4583333E-02   3.1002070E+02   3.5546980E+04   2.7602235E+04
   1.8750000E-02   3.1014663E+02   3.6004992E+04   2.7608554E+04
   2.2916667E-02   3.1026564E+02   3.6450557E+04   2.7611727E+04
   2.7083333E-02   3.1037761E+02   3.6886466E+04   2.7612446E+04
   3.1250000E-02   3.1048431E+02   3.7316600E+04   2.7613208E+04
   3.5416667E-02   3.1058749E+02   3.7742916E+04   2.7615028E+04
   3.9583333E-02   3.1068788E+02   3.8165454E+04   2.7617785E+04
   4.3750000E-02   3.1078518E+02   3.8583961E+04   2.7620456E+04
   4.7916667E-02   3.1087880E+02   3.9000065E+04   2.7621312E+04
   5.2083333E-02   3.1096830E+02   3.9418034E+04   2.7618653E+04
   5.6250000E-02   3.1105294E+02   3.9841702E+04   2.7611621E+04
   6.0416667E-02   3.1113100E+02   4.0267462E+04   2.7600583E+04
   6.4583333E-02   3.1119999E+02   4.0678854E+04   2.7586929E+04
   6.8750000E-02   3.1125758E+02   4.1050898E+04   2.7572492E+04
   7.2916667E-02   3.1130279E+02   4.1362572E+04   2.7558942E+04
   7.7083333E-02   3.1133631E+02   4.1605590E+04   2.7547410E+04
   8.1250000E-02   3.1135995E+02   4.1783961E+04   2.7538368E+04
   8.5416667E-02   3.1137592E+02   4.1908623E+04   2.7531709E+04
   8.9583333E-02   3.1138629E+02   4.1992246E+04   2.7526985E+04
   9.3750000E-02   3.1139274E+02   4.2046169E+04   2.7523681E+04
   9.7916667E-02   3.1139656E+02   4.2079343E+04   2.7521391E+04
   1.0208333E-01   3.1139867E+02   4.2098496E+04   2.7519861E+04
   1.0625000E-01   3.1139974E+02   4.2108692E+04   2.7518933E+04
   1.1041667E-01   3.1140024E+02   4.2113663E+04   2.7518494E+04
   1.1458333E-01   3.1140045E+02   4.2115930E+04   2.7518443E+04
   1.1875000E-01   3.1140052E+02   4.2116971E+04   2.7518673E+04
   1.2291667E-01   3.1140054E+02   4.2117525E+04   2.7519073E+04
   1.2708333E-01   3.1140052E+02   4.2117901E+04   2.7519541E+04
   1.3125000E-01   3.1140049E+02   4.2118199E+04   2.7519997E+04
   1.3541667E-01   3.1140044E+02   4.2118442E+04   2.7520390E+04
   1.3958333E-01   3.1140039E+02   4.2118630E+04   2.7520698E+04
   1.4375000E-01   3.1140031E+02   4.2118768E+04   2.7520921E+04
   1.4791667E-01   3.1140023E+02   4.2118861E+04   2.7521072E+04
   1.5208333E-01   3.1140014E+02   4.2118921E+04   2.7521168E+04
   1.5625000E-01   3.1140005E+02   4.2118956E+04   2.7521225E+04
   1.6041667E-01   3.1139994E+02   4.2118977E+04   2.7521258E+04
   1.6458333E-01   3.1139983E+02   4.2118988E+04   2.7521275E+04
   1.6875000E-01   3.1139971E+02   4.2118993E+04   2.7521284E+04
   1.7291667E-01   3.1139958E+02   4.2118996E+04   2.7521289E+04
   1.7708333E-01   3.1139945E+02   4.2118998E+04   2.7521291E+04
   1.8125000E-01   3.1139931E+02   4.2118998E+04   2.7521292E+04
   1.8541667E-01   3.1139916E+02   4.2118998E+04   2.7521292E+04
   1.8958333E-01   3.1139901E+02   4.2118999E+04   2.7521292E+04
   1.9375000E-01   3.1139884E+02   4.2118999E+04   2.7521292E+04
   1.9791667E-01   3.1139867E+02   4.2118999E+04   2.7521292E+04
   2.0208333E-01   3.1139848E+02   4.2118999E+04   2.7521292E+04
   2.0625000E-01   3.1139829E+02   4.2118999E+04   2.7521292E+04
   2.1041667E-01   3.1139809E+02   4.2118999E+04   2.7521292E+04
   2.1458333E-01   3.1139788E+02   4.2118999E+04   2.7521292E+04
   2.1875000E-01   3.1139765E+02   4.2118999E+04   2.7521292E+04
   2.2291667E-01   3.1139742E+02   4.2118999E+04   2.7521292E+04
   2.2708333E-01   3.1139717E+02   4.2118999E+04   2.7521292E+04
   2.3125000E-01   3.1139691E+02   4.2118999E+04   2.7521292E+04
   2.3541667E-01   3.1139664E+02   4.2118999E+04   2.7521292E+04
   2.3958333E-01   3.1139636E+02   4.2118999E+04   2.7521292E+04
   2.4375000E-01   3.1139606E+02   4.2118999E+04   2.7521292E+04
   2.4791667E-01   3.1139575E+02   4.2118999E+04   2.7521292E+04
   2.5208333E-01   3.1139542E+02   4.2118999E+04   2.7521292E+04
   2.5625000E-01   3.1139508E+02   4.2118999E+04   2.7521292E+04
   2.6041667E-01   3.1139473E+02   4.2118999E+04   2.7521292E+04
   2.6458333E-01   3.1139435E+02   4.2118999E+04   2.7521292E+04
   2.6875000E-01   3.1139396E+02   4.2118999E+04   2.7521292E+04
   2.7291667E-01   3.1139356E+02   4.2118999E+04   2.7521292E+04
   2.7708333E-01   3.1139313E+02   4.2118999E+04   2.7521292E+04
   2.8125000E-01   3.1139269E+02   4.2118999E+04   2.7521292E+04
   2.8541667E-01   3.1139223E+02   4.2118999E+04   2.7521292E+04
   2.8958333E-01   3.1139174E+02   4.2118999E+04   2.7521292E+04
   2.9375000E-01   3.1139124E+02   4.2118999E+04   2.7521292E+04
   2.9791667E-01   3.1139071E+02   4.2118999E+04   2.7521292E+04
   3.0208333E-01   3.1139017E+02   4.2118999E+04   2.7521292E+04
   3.0625000E-01   3.1138960E+02   4.2118999E+04   2.7521292E+04
   3.1041667E-01   3.1138901E+02   4.2118999E+04   2.7521292E+04
   3.1458333E-01   3.1138839E+02   4.2118999E+04   2.7521292E+04
   3.1875000E-01   3.1138775E+02   4.2118999E+04   2.7521292E+04
   3.2291667E-01   3.1138708E+02   4.2118999E+04   2.7521292E+04
   3.2708333E-01   3.1138639E+02   4.2118999E+04   2.7521292E+04
   3.3125000E-01   3.1138567E+02   4.2118999E+04   2.7521292E+04
   3.3541667E-01   3.1138492E+02   4.2118999E+04   2.7521292E+04
   3.3958333E-01   3.1138414E+02   4.2118999E+04   2.7521292E+04
   3.4375000E-01   3.1138333E+02   4.2118999E+04   2.7521292E+04
   3.4791667E-01   3.1138249E+02   4.2118999E+04   2.7521292E+04
   3.5208333E-01   3.1138162E+02   4.2118999E+04   2.7521292E+04
   3.5625000E-01   3.1138071E+02   4.2118999E+04   2.7521292E+04
   3.6041667E-01   3.1137977E+02   4.2118999E+04   2.7521292E+04
   3.6458333E-01   3.1137880E+02   4.2118999E+04   2.7521292E+04
   3.6875000E-01   3.1137778E+02   4.2118999E+04   2.7521292E+04
   3.7291667E-01   3.1137673E+02   4.2118999E+04   2.7521292E+04
   3.7708333E-01   3.1137564E+02   4.2118999E+04   2.7521292E+04
   3.8125000E-01   3.1137450E+02   4.2118999E+04   2.7521292E+04
   3.8541667E-01   3.1137333E+02   4.2118999E+04   2.7521292E+04
   3.8958333E-01   3.1137210E+02   4.2118999E+04   2.7521292E+04
   3.9375000E-01   3.1137083E+02   4.2118999E+04   2.7521292E+04
   3.9791667E-01   3.1136951E+02   4.2118999E+04   2.7521292E+04
   4.0208333E-01   3.1136814E+02   4.2118999E+04   2.7521292E+04
   4.0625000E-01   3.1136671E+02   4.2118999E+04   2.7521292E+04
   4.1041667E-01   3.1136523E+02   4.2118999E+04   2.7521292E+04
   4.1458333E-01   3.1136368E+02   4.2118999E+04   2.7521292E+04
   4.1875000E-01   3.1136206E+02   4.2118999E+04   2.7521292E+04
   4.2291667E-01   3.1136038E+02   4.2118999E+04   2.7521292E+04
   4.2708333E-01   3.1135862E+02   4.2118999E+04   2.7521292E+04
   4.3125000E-01   3.1135678E+02   4.2118999E+04   2.7521292E+04
   4.3541667E-01   3.1135486E+02   4.2118999E+04   2.7521292E+04
   4.3958333E-01   3.1135283E+02   4.2118999E+04   2.7521292E+04
   4.4375000E-01   3.1135071E+02   4.2118999E+04   2.7521292E+04
   4.4791667E-01   3.1134839E+02   4.2118999E+04   2.7521292E+04
   4.5208333E-01   3.1134584E+02   4.2118999E+04   2.7521292E+04
   4.5625000E-01   3.1134297E+02   4.2118998E+04   2.7521292E+04
   4.6041667E-01   3.1133981E+02   4.2119000E+04   2.7521292E+04
   4.6458333E-01   3.1133645E+02   4.2118995E+04   2.7521292E+04
   4.6875000E-01   3.1133332E+02   4.2119008E+04   2.7521292E+04
   4.7291667E-01   3.1133151E+02   4.2118974E+04   2.7521293E+04
   4.7708333E-01   3.1133414E+02   4.2119064E+04   2.7521292E+04
   4.8125000E-01   3.1134975E+02   4.2118824E+04   2.7521289E+04
   4.8541667E-01   3.1139684E+02   4.2119451E+04   2.7521305E+04
   4.8958333E-01   3.1151107E+02   4.2117929E+04   2.7521373E+04
   4.9375000E-01   3.1172262E+02   4.2121245E+04   2.7520224E+04
   4.9791667E-01   3.1203675E+02   4.2109607E+04   2.7524119E+04
