 i   xc     umax     mean    RMSvsPois
 20  1.025   1.3740   1.0000    0.06883
 40  2.025   1.4701   1.0000    0.01516
 60  3.025   1.4898   1.0000    0.00419
 80  4.025   1.4941   1.0000    0.00184
100  5.025   1.4951   1.0000    0.00136
120  6.025   1.4953   1.0000    0.00125
140  7.025   1.4953   1.0000    0.00123
158  7.925   1.4926   0.9975    0.00316

station i=120 x=6.025  u_max=1.4953 mean=1.0000
 y_j    u_AC    u_Pois
 0.0125  0.0750  0.0741
 0.0375  0.2174  0.2166
 0.0625  0.3524  0.3516
 0.0875  0.4798  0.4791
 0.1125  0.5997  0.5991
 0.1375  0.7121  0.7116
 0.1625  0.8170  0.8166
 0.1875  0.9144  0.9141
 0.2125  1.0043  1.0041
 0.2375  1.0867  1.0866
 0.2625  1.1616  1.1616
 0.2875  1.2289  1.2291
 0.3125  1.2888  1.2891
 0.3375  1.3411  1.3416
 0.3625  1.3858  1.3866
 0.3875  1.4231  1.4241
 0.4125  1.4528  1.4541
 0.4375  1.4748  1.4766
 0.4625  1.4890  1.4916
 0.4875  1.4953  1.4991
 0.5125  1.4953  1.4991
 0.5375  1.4890  1.4916
 0.5625  1.4748  1.4766
 0.5875  1.4528  1.4541
 0.6125  1.4231  1.4241
 0.6375  1.3858  1.3866
 0.6625  1.3411  1.3416
 0.6875  1.2888  1.2891
 0.7125  1.2289  1.2291
 0.7375  1.1616  1.1616
 0.7625  1.0867  1.0866
 0.7875  1.0043  1.0041
 0.8125  0.9144  0.9141
 0.8375  0.8170  0.8166
 0.8625  0.7121  0.7116
 0.8875  0.5997  0.5991
 0.9125  0.4798  0.4791
 0.9375  0.3524  0.3516
 0.9625  0.2174  0.2166
 0.9875  0.0750  0.0741

station i=150 x=7.525  u_max=1.4954 mean=1.0000
 y_j    u_AC    u_Pois
 0.0125  0.0750  0.0741
 0.0375  0.2174  0.2166
 0.0625  0.3523  0.3516
 0.0875  0.4797  0.4791
 0.1125  0.5996  0.5991
 0.1375  0.7120  0.7116
 0.1625  0.8170  0.8166
 0.1875  0.9144  0.9141
 0.2125  1.0043  1.0041
 0.2375  1.0867  1.0866
 0.2625  1.1615  1.1616
 0.2875  1.2289  1.2291
 0.3125  1.2888  1.2891
 0.3375  1.3411  1.3416
 0.3625  1.3859  1.3866
 0.3875  1.4232  1.4241
 0.4125  1.4528  1.4541
 0.4375  1.4749  1.4766
 0.4625  1.4891  1.4916
 0.4875  1.4954  1.4991
 0.5125  1.4954  1.4991
 0.5375  1.4891  1.4916
 0.5625  1.4749  1.4766
 0.5875  1.4528  1.4541
 0.6125  1.4232  1.4241
 0.6375  1.3859  1.3866
 0.6625  1.3411  1.3416
 0.6875  1.2888  1.2891
 0.7125  1.2289  1.2291
 0.7375  1.1615  1.1616
 0.7625  1.0867  1.0866
 0.7875  1.0043  1.0041
 0.8125  0.9144  0.9141
 0.8375  0.8170  0.8166
 0.8625  0.7120  0.7116
 0.8875  0.5996  0.5991
 0.9125  0.4797  0.4791
 0.9375  0.3523  0.3516
 0.9625  0.2174  0.2166
 0.9875  0.0750  0.0741

station i=158 x=7.925  u_max=1.4926 mean=0.9975
 y_j    u_AC    u_Pois
 0.0125  0.0739  0.0741
 0.0375  0.2156  0.2166
 0.0625  0.3502  0.3516
 0.0875  0.4774  0.4791
 0.1125  0.5972  0.5991
 0.1375  0.7096  0.7116
 0.1625  0.8144  0.8166
 0.1875  0.9118  0.9141
 0.2125  1.0017  1.0041
 0.2375  1.0840  1.0866
 0.2625  1.1589  1.1616
 0.2875  1.2262  1.2291
 0.3125  1.2861  1.2891
 0.3375  1.3384  1.3416
 0.3625  1.3832  1.3866
 0.3875  1.4204  1.4241
 0.4125  1.4501  1.4541
 0.4375  1.4721  1.4766
 0.4625  1.4863  1.4916
 0.4875  1.4926  1.4991
 0.5125  1.4926  1.4991
 0.5375  1.4863  1.4916
 0.5625  1.4721  1.4766
 0.5875  1.4501  1.4541
 0.6125  1.4204  1.4241
 0.6375  1.3832  1.3866
 0.6625  1.3384  1.3416
 0.6875  1.2861  1.2891
 0.7125  1.2262  1.2291
 0.7375  1.1589  1.1616
 0.7625  1.0840  1.0866
 0.7875  1.0017  1.0041
 0.8125  0.9118  0.9141
 0.8375  0.8144  0.8166
 0.8625  0.7096  0.7116
 0.8875  0.5972  0.5991
 0.9125  0.4774  0.4791
 0.9375  0.3502  0.3516
 0.9625  0.2156  0.2166
 0.9875  0.0739  0.0741

dp/dx between x=4.0 and 7.9: -0.24017112778439972
