case               eps    G  q(M)         hv |    TfRMS    TsRMS      dq%
eps03_G1_q1       0.30  1.0   1.0  1.403e+06 |   5.7409   5.6945  +0.704
eps03_G1_q2       0.30  1.0   2.0  1.403e+06 |  11.2833  11.1733  +0.691
eps03_G1_q3       0.30  1.0   3.0  1.403e+06 |  16.8257  16.6520  +0.687
eps03_G2_q1       0.30  2.0   1.0  2.013e+06 |   0.6471   0.6325  +0.288
eps03_G2_q2       0.30  2.0   2.0  2.013e+06 |   1.2267   1.1811  +0.276
eps03_G2_q3       0.30  2.0   3.0  2.013e+06 |   1.8070   1.7301  +0.272
eps03_G3_q1       0.30  3.0   1.0  2.507e+06 |   0.2328   0.1690  +0.155
eps03_G3_q2       0.30  3.0   2.0  2.507e+06 |   0.4977   0.3751  +0.145
eps03_G3_q3       0.30  3.0   3.0  2.507e+06 |   0.7632   0.5822  +0.141
eps06_G1_q1       0.60  1.0   1.0  8.018e+05 |   1.4009   1.3707  +0.287
eps06_G1_q2       0.60  1.0   2.0  8.018e+05 |   2.7153   2.6342  +0.280
eps06_G1_q3       0.60  1.0   3.0  8.018e+05 |   4.0307   3.8985  +0.278
eps06_G2_q1       0.60  2.0   1.0  1.150e+06 |   0.4628   0.3659  +0.111
eps06_G2_q2       0.60  2.0   2.0  1.150e+06 |   0.9610   0.7767  +0.105
eps06_G2_q3       0.60  2.0   3.0  1.150e+06 |   1.4589   1.1870  +0.103
eps06_G3_q1       0.60  3.0   1.0  1.433e+06 |   0.4981   0.4256  +0.062
eps06_G3_q2       0.60  3.0   2.0  1.433e+06 |   1.0177   0.8796  +0.056
eps06_G3_q3       0.60  3.0   3.0  1.433e+06 |   1.5376   1.3338  +0.054
eps09_G1_q1       0.90  1.0   1.0  2.005e+05 |   1.3352   1.0836  +0.049
eps09_G1_q2       0.90  1.0   2.0  2.005e+05 |   2.6876   2.1978  +0.048
eps09_G1_q3       0.90  1.0   3.0  2.005e+05 |   4.0403   3.3124  +0.047
eps09_G2_q1       0.90  2.0   1.0  2.876e+05 |   0.8637   0.7022  +0.024
eps09_G2_q2       0.90  2.0   2.0  2.876e+05 |   1.7351   1.4213  +0.022
eps09_G2_q3       0.90  2.0   3.0  2.876e+05 |   2.6064   2.1399  +0.022
eps09_G3_q1       0.90  3.0   1.0  3.582e+05 |   0.6346   0.5138  +0.015
eps09_G3_q2       0.90  3.0   2.0  3.582e+05 |   1.2740   1.0395  +0.014
eps09_G3_q3       0.90  3.0   3.0  3.582e+05 |   1.9135   1.5654  +0.013
